UF,SITUACAO,ADEQUACAO,AGUA,ESGOTO,LIXO,n
21,Rural,Semi-adequado,Inadequado,Inadequado,Adequado,26249
21,Rural,Semi-adequado,Inadequado,Inadequado,Inadequado,0
21,Urbano,Adequado,Adequado,Adequado,Adequado,1202065
21,Urbano,Adequado,Adequado,Adequado,Inadequado,0
21,Urbano,Adequado,Adequado,Inadequado,Adequado,0
21,Urbano,Adequado,Adequado,Inadequado,Inadequado,0
21,Urbano,Adequado,Inadequado,Adequado,Adequado,0
21,Urbano,Adequado,Inadequado,Adequado,Inadequado,0
21,Urbano,Adequado,Inadequado,Inadequado,Adequado,0
21,Urbano,Adequado,Inadequado,Inadequado,Inadequado,0
21,Urbano,Inadequado,Adequado,Adequado,Adequado,0
21,Urbano,Inadequado,Adequado,Adequado,Inadequado,0
21,Urbano,Inadequado,Adequado,Inadequado,Adequado,0
21,Urbano,Inadequado,Adequado,Inadequado,Inadequado,0
21,Urbano,Inadequado,Inadequado,Adequado,Adequado,0
21,Urbano,Inadequado,Inadequado,Adequado,Inadequado,0
21,Urbano,Inadequado,Inadequado,Inadequado,Adequado,0
21,Urbano,Inadequado,Inadequado,Inadequado,Inadequado,187839
21,Urbano,Semi-adequado,Adequado,Adequado,Adequado,0
21,Urbano,Semi-adequado,Adequado,Adequado,Inadequado,134050
21,Urbano,Semi-adequado,Adequado,Inadequado,Adequado,2261013
21,Urbano,Semi-adequado,Adequado,Inadequado,Inadequado,899292
21,Urbano,Semi-adequado,Inadequado,Adequado,Adequado,10657
21,Urbano,Semi-adequado,Inadequado,Adequado,Inadequado,5903
21,Urbano,Semi-adequado,Inadequado,Inadequado,Adequado,122247
21,Urbano,Semi-adequado,Inadequado,Inadequado,Inadequado,0
22,Rural,Adequado,Adequado,Adequado,Adequado,1595
22,Rural,Adequado,Adequado,Adequado,Inadequado,0
22,Rural,Adequado,Adequado,Inadequado,Adequado,0
22,Rural,Adequado,Adequado,Inadequado,Inadequado,0
22,Rural,Adequado,Inadequado,Adequado,Adequado,0
22,Rural,Adequado,Inadequado,Adequado,Inadequado,0
22,Rural,Adequado,Inadequado,Inadequado,Adequado,0
22,Rural,Adequado,Inadequado,Inadequado,Inadequado,0
22,Rural,Inadequado,Adequado,Adequado,Adequado,0
22,Rural,Inadequado,Adequado,Adequado,Inadequado,0
22,Rural,Inadequado,Adequado,Inadequado,Adequado,0
22,Rural,Inadequado,Adequado,Inadequado,Inadequado,0
22,Rural,Inadequado,Inadequado,Adequado,Adequado,0
22,Rural,Inadequado,Inadequado,Adequado,Inadequado,0
22,Rural,Inadequado,Inadequado,Inadequado,Adequado,0
22,Rural,Inadequado,Inadequado,Inadequado,Inadequado,269226
22,Rural,Semi-adequado,Adequado,Adequado,Adequado,0
22,Rural,Semi-adequado,Adequado,Adequado,Inadequado,15799
22,Rural,Semi-adequado,Adequado,Inadequado,Adequado,171425
22,Rural,Semi-adequado,Adequado,Inadequado,Inadequado,658436
22,Rural,Semi-adequado,Inadequado,Adequado,Adequado,539
22,Rural,Semi-adequado,Inadequado,Adequado,Inadequado,0
22,Rural,Semi-adequado,Inadequado,Inadequado,Adequado,9103
22,Rural,Semi-adequado,Inadequado,Inadequado,Inadequado,0
22,Urbano,Adequado,Adequado,Adequado,Adequado,226221
22,Urbano,Adequado,Adequado,Adequado,Inadequado,0
22,Urbano,Adequado,Adequado,Inadequado,Adequado,0
22,Urbano,Adequado,Adequado,Inadequado,Inadequado,0
22,Urbano,Adequado,Inadequado,Adequado,Adequado,0
22,Urbano,Adequado,Inadequado,Adequado,Inadequado,0
22,Urbano,Adequado,Inadequado,Inadequado,Adequado,0
22,Urbano,Adequado,Inadequado,Inadequado,Inadequado,0
22,Urbano,Inadequado,Adequado,Adequado,Adequado,0
22,Urbano,Inadequado,Adequado,Adequado,Inadequado,0
22,Urbano,Inadequado,Adequado,Inadequado,Adequado,0
22,Urbano,Inadequado,Adequado,Inadequado,Inadequado,0
22,Urbano,Inadequado,Inadequado,Adequado,Adequado,0
22,Urbano,Inadequado,Inadequado,Adequado,Inadequado,0
22,Urbano,Inadequado,Inadequado,Inadequado,Adequado,0
22,Urbano,Inadequado,Inadequado,Inadequado,Inadequado,13231
22,Urbano,Semi-adequado,Adequado,Adequado,Adequado,0
22,Urbano,Semi-adequado,Adequado,Adequado,Inadequado,433
22,Urbano,Semi-adequado,Adequado,Inadequado,Adequado,1770490
22,Urbano,Semi-adequado,Adequado,Inadequado,Inadequado,102493
22,Urbano,Semi-adequado,Inadequado,Adequado,Adequado,1863
22,Urbano,Semi-adequado,Inadequado,Adequado,Inadequado,0
22,Urbano,Semi-adequado,Inadequado,Inadequado,Adequado,31592
22,Urbano,Semi-adequado,Inadequado,Inadequado,Inadequado,0
23,Rural,Adequado,Adequado,Adequado,Adequado,78600
23,Rural,Adequado,Adequado,Adequado,Inadequado,0
23,Rural,Adequado,Adequado,Inadequado,Adequado,0
23,Rural,Adequado,Adequado,Inadequado,Inadequado,0
23,Rural,Adequado,Inadequado,Adequado,Adequado,0
23,Rural,Adequado,Inadequado,Adequado,Inadequado,0
